query,trend_date,trend_popularity
mod minecraft,2022-07-10,100
mods minecraft,2022-07-24,100
server minecraft,2020-03-22,100
minecraft modpack server,2022-07-10,100
minecraft better minecraft modpack,2022-06-19,100
best modpack minecraft,2022-12-18,100
best modpack,2023-08-06,100
better minecraft,2022-07-10,100
forge modpack,2022-12-18,100
minecraft modpack download,2020-08-09,100
minecraft download,2022-12-25,100
better minecraft modpack,2022-06-19,100
forge minecraft,2022-07-10,100
forge,2023-08-06,100
modpacks,2022-07-10,100
modpacks minecraft,2020-03-29,100
curseforge,2022-08-28,100
curseforge minecraft,2022-07-10,100
minecraft launcher,2022-07-03,100
modpack minecraft 1.12.2,2020-05-31,100
minecraft modpack launcher,2020-04-19,100
mod pack,2022-07-24,100
minecraft java,2022-07-24,100
java,2018-10-07,100
mod pack minecraft,2022-07-24,100
